ListPrice,ListingKey,ClosePrice,Latitude,Longitude,PostalCode,CloseDate,BedroomsTotal,BathroomsTotalInteger,LivingArea,LotSizeSquareFeet,DaysOnMarket,Residential
809999.0,1140144161,810000.0,33.914105,-118.197814,90262,2026-04-03,4.0,2.0,1929.0,8812.0,131,1
633628.0,1140142851,598990.0,33.774402,-117.452761,92883,2026-04-02,2.0,2.0,1366.0,3481.0,136,1
785000.0,1140142304,780000.0,32.86171727,-116.91392,92040,2026-04-29,4.0,3.0,1657.0,8041.0,161,1
899000.0,1140134700,836400.0,33.711825,-116.372386,92260,2026-04-10,4.0,3.0,2757.0,10890.0,147,1
389000.0,1140006210,385000.0,33.760275,-116.29143899999998,92211,2026-04-27,2.0,2.0,1110.0,5227.0,157,1
625000.0,1139974859,620000.0,33.992102,-118.306794,90062,2026-04-23,3.0,2.0,1098.0,4960.0,52,1
1080000.0,1139971288,850000.0,33.739812,-116.270698,92203,2026-04-15,3.0,4.0,3418.0,20473.0,183,1
469999.0,1139950425,465000.0,33.755774,-116.884811,92544,2026-04-14,3.0,2.0,1573.0,7841.0,153,1
2399999.0,1139921479,2400000.0,34.110229,-118.053851,91780,2026-04-17,5.0,6.0,3654.0,9751.0,163,1
2699000.0,1139885521,2400000.0,34.148931,-118.412195,91604,2026-04-29,5.0,5.0,4649.0,5636.0,166,1
4995000.0,1139871543,4725000.0,34.036991,-118.489591,90403,2026-04-28,5.0,7.0,4400.0,3840.0,151,1
159000.0,1139847828,155000.0,34.24382,-117.317772,92322,2026-04-22,1.0,1.0,824.0,12456.0,71,1
715000.0,1139832264,735000.0,34.970761,-120.453056,93458,2026-04-24,3.0,3.0,2628.0,6098.0,148,1
495000.0,1139820228,475000.0,33.673091,-116.219778,92201,2026-04-14,2.0,2.0,1342.0,3049.0,174,1
1299950.0,1139792459,1325000.0,34.158194,-118.09192,91107,2026-04-16,3.0,3.0,2110.0,8187.0,160,1
4495000.0,1139791983,4295000.0,32.838328999999995,-117.24820547,92037,2026-04-02,5.0,7.0,5819.0,12196.8,136,1
825000.0,1139748181,825000.0,33.908801000000004,-118.290651,90247,2026-04-16,3.0,2.0,1218.0,6018.0,74,1
600000.0,1139747956,595000.0,33.979857,-118.323849,90043,2026-04-15,2.0,2.0,1032.0,4802.0,40,1
2895000.0,1139739541,2630000.0,33.153688,-117.33248600000002,92008,2026-04-09,5.0,4.0,3665.0,10454.4,152,1
2000000.0,1139736149,1930000.0,33.902134999999994,-118.187717,90221,2026-04-01,2.0,1.0,696.0,5987.0,112,1
1399999.0,1139732138,1325000.0,33.813857,-118.061473,90630,2026-04-23,4.0,3.0,2854.0,6000.0,132,1
735000.0,1139726132,707000.0,34.548873,-117.278611,92307,2026-04-03,4.0,3.0,3274.0,29468.0,127,1
479950.0,1139700664,479950.0,34.688297,-118.214554,93536,2026-04-01,3.0,2.0,1572.0,7098.0,122,1
595000.0,1139697612,525000.0,34.091491999999995,-116.404392,92284,2026-04-10,3.0,2.0,1833.0,20000.0,134,1
545000.0,1139697119,555000.0,33.693135,-117.096737,92596,2026-04-16,3.0,2.0,1950.0,6534.0,76,1
600000.0,1139690535,600000.0,33.874320000000004,-117.20731,92555,2026-04-15,5.0,3.0,2605.0,6534.0,111,1
725000.0,1139679529,700000.0,35.105203,-120.60421,93445,2026-04-03,3.0,2.0,1307.0,6000.0,20,1
2300000.0,1139677373,2200000.0,33.531761,-117.024748,92592,2026-04-27,5.0,6.0,3330.0,189921.6,100,1
1999800.0,1139667151,1740000.0,36.949508,-119.514095,93619,2026-04-08,3.0,2.0,2119.0,5755147.0,149,1
454000.0,1139659236,425000.0,33.723741,-116.257123,92201,2026-04-13,2.0,2.0,1600.0,4356.0,177,1
305000.0,1139654626,300000.0,34.224281,-119.106691,93010,2026-04-20,3.0,2.0,1689.0,3001.0,135,1
699000.0,1139654062,699000.0,34.0727,-117.340022,92324,2026-04-01,3.0,2.0,1600.0,20832.0,117,1
1350000.0,1139642825,1300000.0,37.06265473,-122.06455767,95005,2026-04-10,3.0,2.0,1934.0,45304.0,147,1
410000.0,1139642619,410000.0,33.732039,-116.173797,92203,2026-04-24,2.0,2.0,1602.0,5401.0,200,1
749000.0,1139641899,630000.0,36.67460917,-121.74852288,93908,2026-04-01,2.0,1.0,1506.0,100188.0,81,1
820000.0,1139639975,800000.0,33.93281,-118.198493,90262,2026-04-29,2.0,1.0,924.0,6064.0,124,1
515000.0,1139624220,530000.0,34.107657,-117.264249,92410,2026-04-17,3.0,2.0,1512.0,7020.0,148,1
1400000.0,1139614454,1390000.0,33.646684,-116.256365,92253,2026-04-27,4.0,5.0,3372.0,15246.0,168,1
825000.0,1139608499,792000.0,33.802844,-116.515203,92264,2026-04-06,2.0,2.0,1644.0,10890.0,149,1
5500000.0,1139576846,5250000.0,34.101818,-118.939472,90265,2026-04-16,3.0,5.0,5682.0,3484582.0,140,1
915000.0,1139555626,915000.0,32.873735,-116.92833799999998,92040,2026-04-02,4.0,2.0,1812.0,55756.8,89,1
759000.0,1139554668,745000.0,33.807961,-116.414874,92270,2026-04-20,2.0,2.0,1657.0,6138.0,116,1
2880000.0,1139538356,2800000.0,34.208573,-118.162124,91001,2026-04-01,3.0,2.0,2942.0,119631.0,142,1
484900.0,1139419757,480000.0,34.00198,-117.05861000000002,92320,2026-04-16,2.0,1.0,980.0,10890.0,179,1
1279000.0,1139396920,1212000.0,32.80318867,-117.24168599,92109,2026-04-16,2.0,2.0,1300.0,3600.0,175,1
1398000.0,1139391855,1313626.0,33.554582,-117.70256299999998,92677,2026-04-20,3.0,3.0,2200.0,4275.0,161,1
610000.0,1139353255,595000.0,33.8495,-116.487779,92234,2026-04-06,4.0,2.0,1721.0,7841.0,142,1
2299000.0,1139348279,2180500.0,33.764509999999994,-116.355179,92211,2026-04-15,4.0,6.0,5109.0,13939.0,167,1
325000.0,1139344469,305000.0,39.814854,-121.597353,95954,2026-04-16,3.0,2.0,1500.0,10454.0,138,1
2575000.0,1139331296,2450000.0,32.98864465,-117.21227899,92091,2026-04-02,4.0,3.0,3052.0,6050.0,155,1
427000.0,1139321787,450000.0,34.570534,-118.107036,93550,2026-04-14,3.0,1.0,1112.0,7753.0,148,1
1610000.0,1139321273,1550000.0,35.149952,-120.637342,93449,2026-04-06,3.0,2.0,2062.0,5000.0,131,1
2145000.0,1139312316,2060000.0,33.707115,-116.385935,92260,2026-04-15,4.0,3.0,3040.0,13504.0,154,1
875000.0,1139306360,848000.0,34.03334,-117.802706,91765,2026-04-22,3.0,2.0,1412.0,11941.0,158,1
850000.0,1139302562,839000.0,33.816084000000004,-116.541559,92262,2026-04-22,3.0,3.0,1955.0,0.0,166,1
1575000.0,1139302560,1455000.0,32.77086056,-117.09999574,92116,2026-04-09,3.0,2.0,2261.0,10999.0,74,1
690000.0,1139302113,690000.0,32.743532,-117.096931,92105,2026-04-03,2.0,1.0,850.0,5861.0,118,1
1199999.0,1139296240,1150000.0,34.144798,-117.539191,91739,2026-04-21,4.0,3.0,2943.0,9097.0,178,1
649000.0,1139295014,575000.0,37.566182,-121.58180149999998,94550,2026-04-27,2.0,1.0,1104.0,897771.0,154,1
2150000.0,1139289353,2150000.0,34.174032000000004,-118.650678,91367,2026-04-01,3.0,3.0,2356.0,11556.0,35,1
799999.0,1139287993,775000.0,33.5204404,-117.09879424,92591,2026-04-02,5.0,3.0,2337.0,7405.0,96,1
619000.0,1139280071,600000.0,34.235496999999995,-117.266837,92325,2026-04-24,3.0,3.0,1822.0,9820.0,159,1
475000.0,1139258835,475000.0,33.941629,-118.260279,90002,2026-04-06,3.0,2.0,1366.0,5392.0,77,1
990000.0,1139217773,990000.0,33.827803,-118.099558,90808,2026-04-20,3.0,2.0,1651.0,5178.0,167,1
425000.0,1139217772,450000.0,33.94163,-118.26041,90002,2026-04-22,2.0,1.0,768.0,5395.0,156,1
955000.0,1139200179,980000.0,33.840813,-118.158472,90712,2026-04-03,4.0,2.0,2143.0,5201.0,125,1
3495000.0,1139112586,3400000.0,34.183915,-118.46227,91411,2026-04-15,7.0,5.0,4128.0,10000.0,15,1
2299000.0,1138917232,2255000.0,36.97765881,-122.05930461,95060,2026-04-01,4.0,3.0,3424.0,13242.0,127,1
2995000.0,1138854683,2800000.0,33.833726,-116.543745,92262,2026-04-07,5.0,5.0,3504.0,18295.0,175,1
349000.0,1138787497,350000.0,37.92848239999999,-121.290753,95206,2026-04-27,5.0,3.0,1675.0,5000.0,127,1
1300000.0,1138536520,1190000.0,33.770245,-116.343181,92211,2026-04-08,4.0,5.0,3965.0,19602.0,175,1
399999.0,1138519724,402000.0,37.81290825,-121.22036475,95336,2026-04-08,3.0,2.0,1140.0,5035.0,95,1
414000.0,1138519151,417000.0,33.731414,-116.172455,92203,2026-04-01,2.0,2.0,1704.0,5445.0,111,1
680000.0,1138501710,683500.0,33.570376,-117.151006,92563,2026-04-01,4.0,3.0,3168.0,7841.0,132,1
362000.0,1138497469,362000.0,39.791922,-121.579744,95969,2026-04-03,3.0,3.0,1260.0,16988.4,140,1
669000.0,1138489256,640000.0,39.89613,-122.101019,6021,2026-04-21,4.0,3.0,2150.0,95832.0,170,1
700000.0,1138485216,700000.0,34.262433,-118.337945,91040,2026-04-10,1.0,1.0,550.0,27442.8,143,1
1490000.0,1138478015,1468000.0,32.596745,-116.97763,91913,2026-04-22,5.0,5.0,3577.0,5867.0,144,1
2595000.0,1138451739,2550000.0,33.433415000000004,-117.598819,92672,2026-04-28,4.0,3.0,3071.0,18500.0,73,1
965000.0,1138449213,950000.0,34.183372,-118.955604,91320,2026-04-17,4.0,3.0,2149.0,5656.0,138,1
3800000.0,1138441356,3695000.0,33.823568,-117.81385,92861,2026-04-03,5.0,5.0,4005.0,20136.0,145,1
249900.0,1138436332,249900.0,35.107834999999994,-117.963929,93505,2026-04-20,4.0,2.0,1704.0,10018.0,162,1
380000.0,1138435241,380000.0,33.735525,-117.207447,92585,2026-04-21,2.0,2.0,1237.0,5227.0,164,1
5725000.0,1138434659,5500000.0,33.503240000000005,-117.746183,92651,2026-04-21,5.0,4.0,4184.0,12318.0,111,1
899000.0,1138431322,900000.0,33.829473,-118.25101200000002,90745,2026-04-24,4.0,2.0,1620.0,5505.0,151,1
425000.0,1138430769,425000.0,35.159295,-118.664038,93561,2026-04-29,3.0,2.0,1996.0,15681.6,102,1
535000.0,1138380852,525000.0,34.272494,-117.209706,92352,2026-04-02,3.0,3.0,1516.0,8200.0,138,1
529000.0,1138375412,515000.0,33.07850706,-116.59667829,92036,2026-04-29,3.0,2.0,1724.0,57500.0,108,1
599950.0,1138361518,615000.0,33.679357,-117.394156,92530,2026-04-21,4.0,2.0,2232.0,10019.0,146,1
6299000.0,1138328220,6000000.0,33.627124,-116.282921,92253,2026-04-01,5.0,7.0,8346.0,47916.0,149,1
2875000.0,1138320499,2800000.0,32.69580768,-117.17156896,92118,2026-04-09,3.0,4.0,2300.0,7000.0,142,1
1499999.0,1138313614,1200000.0,34.483059000000004,-118.259064,93510,2026-04-30,4.0,3.0,1600.0,11804760.0,114,1
979000.0,1138000041,925000.0,33.256632,-116.99654,92082,2026-04-03,4.0,3.0,3117.0,87120.0,132,1
760990.0,1137999991,759595.0,33.95004,-117.209124,92557,2026-04-10,5.0,4.0,3240.0,10081.0,160,1
2895000.0,1137999978,2695000.0,36.57823568,-121.91793809,93953,2026-04-22,4.0,4.0,3040.0,11376.0,173,1
368000.0,1137999667,365000.0,34.435755,-117.235085,92308,2026-04-22,2.0,2.0,1544.0,5160.0,132,1
990000.0,1137998172,980000.0,34.437909000000005,-118.499011,91350,2026-04-09,5.0,5.0,3743.0,5202.0,77,1
749000.0,1137814407,749000.0,34.130243,-118.002111,91016,2026-04-27,2.0,1.0,826.0,5865.0,94,1
625000.0,1137806048,625000.0,33.942395,-117.539917,92860,2026-04-29,3.0,2.0,1056.0,7841.0,174,1
835500.0,1137777450,835500.0,33.029648,-116.900121,92065,2026-04-20,3.0,2.0,1536.0,47916.0,149,1
675000.0,1137682143,650000.0,34.064449,-117.698063,91763,2026-04-14,3.0,2.0,1416.0,5932.0,150,1
730000.0,1137658122,748000.0,34.423543,-118.472063,91351,2026-04-27,4.0,2.0,1619.0,6523.0,140,1
305000.0,1137656910,290000.0,34.755337,-117.331111,92342,2026-04-09,2.0,2.0,1280.0,8587.0,162,1
725000.0,1137656790,775000.0,32.715738,-117.161084,92029,2026-04-02,3.0,2.0,1236.0,21090.0,31,1
525000.0,1137647038,525000.0,33.695172,-117.178874,92586,2026-04-13,3.0,2.0,1785.0,7405.0,154,1
975000.0,1137632314,975000.0,33.523599,-117.586495,92694,2026-04-21,3.0,3.0,1413.0,1907.0,130,1
1050000.0,1137631502,1100000.0,33.901076,-117.872994,92835,2026-04-23,3.0,2.0,1589.0,8300.0,165,1
275000.0,1137622886,275000.0,34.153127000000005,-116.09136200000002,92277,2026-04-24,2.0,1.0,1101.0,9520.0,138,1
573900.0,1137621914,573900.0,33.777218,-117.021144,92582,2026-04-15,4.0,2.0,2143.0,6600.0,142,1
1469999.0,1137621165,1380000.0,33.672957000000004,-117.947672,92646,2026-04-16,4.0,3.0,2169.0,6000.0,152,1
635000.0,1137612735,627000.0,33.738811,-116.178703,92203,2026-04-17,2.0,2.0,2166.0,12632.0,128,1
798000.0,1137591150,790000.0,39.745470000000005,-121.80217,95928,2026-04-10,3.0,2.0,1631.0,84506.0,178,1
2100000.0,1137588484,1950000.0,34.009177,-117.866857,91789,2026-04-10,6.0,7.0,3650.0,15571.0,93,1
789000.0,1137587537,795110.0,35.487418,-120.674706,93422,2026-04-03,3.0,2.0,1704.0,32234.4,8,1
410000.0,1137586633,412000.0,34.248913,-117.315633,92325,2026-04-27,4.0,2.0,2049.0,7200.0,170,1
680000.0,1137586393,687000.0,33.62378,-117.081808,92596,2026-04-28,5.0,3.0,3133.0,7793.0,165,1
365000.0,1137581329,355000.0,34.926840000000006,-117.016708,92311,2026-04-01,5.0,3.0,2255.0,11900.0,146,1
399900.0,1137577058,415000.0,34.579073,-117.425429,92301,2026-04-27,3.0,2.0,1086.0,7800.0,168,1
